1,1,654.00,268.00,98.00,238.00,0.69,-1,-1,-1
1,2,747.00,247.00,101.00,260.00,0.73,-1,-1,-1
1,3,318.00,339.00,85.00,226.00,0.82,-1,-1,-1
1,4,544.00,273.00,114.00,245.00,0.84,-1,-1,-1
1,5,166.00,226.00,168.00,472.00,0.90,-1,-1,-1
1,6,389.00,236.00,124.00,280.00,0.90,-1,-1,-1
1,7,947.00,219.00,226.00,498.00,0.94,-1,-1,-1
2,1,655.55,269.74,96.64,234.53,0.72,-1,-1,-1
2,2,751.20,244.40,102.14,263.47,0.71,-1,-1,-1
2,3,319.86,338.13,85.62,227.74,0.85,-1,-1,-1
2,4,543.61,272.13,114.79,246.74,0.85,-1,-1,-1
2,5,169.46,228.60,166.29,467.66,0.90,-1,-1,-1
2,6,392.27,237.74,123.53,279.13,0.90,-1,-1,-1
2,7,947.85,219.00,226.04,498.00,0.94,-1,-1,-1
3,1,656.93,269.25,98.09,237.86,0.70,-1,-1,-1
3,2,753.09,243.95,101.56,263.29,0.69,-1,-1,-1
3,3,321.63,339.54,85.15,226.48,0.83,-1,-1,-1
3,4,543.75,271.21,115.28,247.81,0.85,-1,-1,-1
3,5,170.15,229.83,165.80,466.92,0.90,-1,-1,-1
3,6,395.44,236.47,123.69,279.76,0.90,-1,-1,-1
3,7,947.97,219.00,226.10,498.00,0.94,-1,-1,-1
4,1,658.76,270.59,97.99,237.42,0.71,-1,-1,-1
4,2,753.67,243.86,100.46,262.41,0.73,-1,-1,-1
4,3,323.42,340.76,84.75,225.28,0.84,-1,-1,-1
4,4,544.17,271.69,115.45,248.12,0.86,-1,-1,-1
4,5,174.30,230.93,165.34,467.53,0.91,-1,-1,-1
4,6,399.76,237.57,122.33,276.93,0.91,-1,-1,-1
4,7,948.17,219.76,225.76,497.24,0.94,-1,-1,-1
4,8,160.38,195.20,89.84,222.20,0.64,-1,-1,-1
5,1,659.88,269.55,99.72,241.65,0.65,-1,-1,-1
5,2,755.88,243.86,99.61,262.10,0.71,-1,-1,-1
